Code,Name,Item,Year,Total,Male,Female
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2003,76,76.1,76
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2005,76.8,76.6,77.1
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2007,77,76.5,77.4
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2008,77,78.2,76
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2009,74.1,76,72.4
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2010,76,77.3,74.8
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2011,73.2,72.9,73.4
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2012,73.3,73.9,72.6
10,Newfoundland and Labrador,"Perceived mental health, very good or excellent (%)",2013,74.1,74.5,73.7
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2003,76.5,77.2,75.9
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2005,76.5,75.1,77.8
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2007,73.9,72.7,75
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2008,75.3,76.5,74.1
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2009,73.7,70.5,76.5
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2010,75.9,73.9,77.7
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2011,70.6,71.8,69.5
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2012,71.5,75.2,68.1
11,Prince Edward Island,"Perceived mental health, very good or excellent (%)",2013,69.4,73.4,65.8
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2003,74,71.9,75.9
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2005,72.7,72.5,73
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2007,73.3,72.9,73.7
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2008,71.6,72.2,71
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2009,74.5,74.6,74.4
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2010,72.8,71.8,73.7
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2011,72.8,73,72.6
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2012,70.7,71.1,70.4
12,Nova Scotia,"Perceived mental health, very good or excellent (%)",2013,68.6,68.3,68.8
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2003,67.6,66.6,68.5
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2005,69.8,69.9,69.7
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2007,70.4,73,68
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2008,71.3,70.8,71.7
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2009,68.1,67,69.1
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2010,68.3,69.3,67.4
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2011,68,68.4,67.7
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2012,68.7,69.1,68.5
13,New Brunswick,"Perceived mental health, very good or excellent (%)",2013,66.7,67,66.4
24,Quebec,"Perceived mental health, very good or excellent (%)",2003,76.5,76.7,76.3
24,Quebec,"Perceived mental health, very good or excellent (%)",2005,76.4,76.6,76.2
24,Quebec,"Perceived mental health, very good or excellent (%)",2007,77,78.3,75.8
24,Quebec,"Perceived mental health, very good or excellent (%)",2008,77.4,77.5,77.2
24,Quebec,"Perceived mental health, very good or excellent (%)",2009,76.8,78,75.6
24,Quebec,"Perceived mental health, very good or excellent (%)",2010,75.8,76.1,75.5
24,Quebec,"Perceived mental health, very good or excellent (%)",2011,75.2,76.2,74.2
